ImageNumber,ObjectNumber,Intensity_MeanIntensity_BGS_mt,Intensity_MeanIntensity_BGS_other,Number_Object_Number
2,105,0.010893215293160194,0.0021359788895126105,105
2,106,0.00619287169071775,0.0022513789511895534,106
2,107,0.006834969253685021,0.002306257722741374,107
2,108,0.006356841388535745,0.00219865597075712,108
2,109,0.005946685382557272,0.0021788315675091395,109
2,110,0.00738214177954942,0.0022988961526658387,110
2,111,0.026745083578336035,0.002594612656793256,111
2,112,0.03130742601075514,0.0027868905551629852,112
2,113,0.00837596162803961,0.0021812503846885,113
2,114,0.00647419530634737,0.0021752781272273104,114
2,115,0.00782800535680427,0.002425724294938384,115
2,116,0.008125479426907174,0.0021932187949104376,116
2,117,0.014763336491752056,0.0027741544581297347,117
2,118,0.007853337387672733,0.002193127655003959,118
2,119,0.006029938637921279,0.0021912303291333644,119
2,120,0.010828296019943074,0.004487190244481337,120
2,121,0.007991357273977274,0.0027207392023102265,121
2,122,0.005822713128806917,0.0021561761437177487,122
2,123,0.005407099624851646,0.0021122392688924,123
2,124,0.005339339533915885,0.0020629851833792504,124
2,125,0.005557916852159374,0.002122292323877662,125
2,126,0.020608110297697376,0.008676946415410688,126
2,127,0.016315456334299604,0.0023636162333243887,127
2,128,0.04406727187281871,0.008468016305836837,128
2,129,0.008887902704573134,0.002425189120625293,129
2,130,0.0077081840898157285,0.002223720831469002,130
2,131,0.006813284001850219,0.002049694925478255,131
2,132,0.006977215951337712,0.0022730051656708384,132
2,133,0.006373763822233053,0.00222583649880936,133
2,134,0.008512145340909726,0.002338857089557609,134
2,135,0.006876269187979192,0.0024069326930242214,135
2,136,0.005885491291139422,0.00209462560775533,136
2,137,0.01615691762617124,0.00227241317548656,137
2,138,0.033449648223963624,0.002293477165563314,138
2,139,0.013775898956887479,0.0021126878559058954,139
2,140,0.005396095405501195,0.0021183996440517464,140
2,141,0.005874934495251382,0.0021764997169024043,141
2,142,0.006540098983902779,0.0021669388811520764,142
2,143,0.005350955275526047,0.0021588261494342744,143
2,144,0.015590520314060965,0.0022616526598113304,144
2,145,0.005892992757964043,0.0022295215106759294,145
2,146,0.01032602719656705,0.0037098288197976387,146
2,147,0.005965609807247421,0.0022332469226354693,147
2,148,0.013234406049173881,0.00347998827306535,148
2,149,0.008704943698058661,0.0033939540600786402,149
2,150,0.007138107787712685,0.0023666354773414825,150
2,151,0.006134266908109752,0.002154485965199547,151
2,152,0.007018537510437597,0.002112374248559192,152
2,153,0.006304691815214113,0.0021037368890172857,153
2,154,0.007426693032496698,0.002348688213529039,154
2,155,0.015212765617207058,0.004396579101203198,155
2,156,0.006151585106050993,0.002185990580291915,156
2,157,0.010313651038070052,0.0024697761825436867,157
2,158,0.00755252737558899,0.0022358805633252393,158
2,159,0.007760823311711982,0.0022876207954160596,159
2,160,0.0065645098653522565,0.002311405680480794,160
2,161,0.006372501742950123,0.002271343797966464,161
2,162,0.006246344417195036,0.0022737289808630375,162
2,163,0.005251397772683361,0.0019845326618133778,163
2,164,0.005280449278068002,0.002226893506249946,164
2,165,0.007020366098554023,0.0023480535451969745,165
2,166,0.010016111831006768,0.0022711405889047063,166
2,167,0.0060489735404373034,0.0022356530467265686,167
2,168,0.006506446253783273,0.0021370359798220497,168
2,169,0.005871659123632275,0.0020703315672091164,169
2,170,0.006876271354889318,0.002170693600543915,170
2,171,0.00596721816251986,0.002114196012572643,171
2,172,0.007901302100731363,0.0024113607089590243,172
2,173,0.008109508684139859,0.0023247504336796434,173
2,174,0.005667400881155629,0.0020176299753358867,174
2,175,0.022961642650386128,0.002364482465418923,175
2,176,0.008209161116513793,0.0021924775588768367,176
2,177,0.01832559887888985,0.0023663605135554587,177
2,178,0.006031029269356152,0.002156593759648566,178
2,179,0.03943060645293828,0.003946105866755153,179
2,180,0.005462432118964895,0.002134963750237258,180
2,181,0.019436452443710613,0.0031834638374299714,181
2,182,0.006378179019463012,0.002297145142124488,182
2,183,0.02726447951663431,0.007115247581668882,183
2,184,0.006662299120208613,0.002378225766863807,184
2,185,0.025106332919311105,0.0024575153208777198,185
2,186,0.005501737121093172,0.0021128396959777833,186
2,187,0.02187350767156512,0.0023063348414582396,187
2,188,0.004581141083191209,0.002051331001158297,188
2,189,0.005477604393527326,0.002061182885412227,189
2,190,0.007287413290020969,0.002455378510357708,190
2,191,0.009272239474895945,0.0026799349520963316,191
2,192,0.01042493597843799,0.0021061694078544496,192
2,193,0.006936243608772057,0.0022635857488030914,193
